,Close,Volume
2019-01-01,52.483570765056164,11091985
2019-01-02,49.75115187099234,19029773
2019-01-03,54.12336259644414,30464339
2019-01-04,58.94246202405481,46275089
2019-01-07,50.59885817117734,2490687
2019-01-08,51.04114519673538,47625033
2019-01-09,60.54996480678683,43866200
2019-01-10,56.93298412349942,33318232
2019-01-11,51.19016050184815,46545724
2019-01-14,56.6918400305703,12336501
2019-01-15,52.10321739897852,6272864
2019-01-16,52.53265507923758,4788963
2019-01-17,56.51181841187411,12540237
2019-01-18,46.17598757725154,33799055
2019-01-21,47.55783327050094,6185773
2019-01-22,53.81064368423158,13728700
2019-01-23,51.997183304595715,22609907
2019-01-24,59.07140527442244,12021186
2019-01-25,53.39842355898591,35523048
2019-01-28,51.314919907846836,25691736
2019-01-29,66.14206946732031,44193996
2019-01-30,58.12179768330819,36044468
2019-01-31,60.024613801187016,25362375
2019-02-01,52.998939193806784,41733588
2019-02-04,57.83586138507965,44752417
2019-02-05,61.546844212253646,27231747
2019-02-06,55.67105490252851,44663896
2019-02-07,63.73761363574222,43907203
2019-02-08,59.288314099882854,8904428
2019-02-11,61.264680146275985,12401147
2019-02-12,60.1454886783452,48668235
2019-02-13,72.84549123432127,46624927
2019-02-14,63.94587279171774,3322523
2019-02-15,59.15321728506502,27379085
2019-02-18,68.982038373591,5746771
2019-02-19,59.191740854130344,9640145
2019-02-20,66.76600039974971,34065406
2019-02-21,56.34810786366843,1864645
2019-02-22,59.92933183025754,2428127
2019-02-25,67.97737426516892,9859690
2019-02-26,71.10718439495761,44864317
2019-02-27,68.69242878182969,38809281
2019-02-28,67.67700948751904,42129019
2019-03-01,67.16829885830103,24292566
2019-03-04,61.69865210681312,49962002
2019-03-05,65.90833950127404,9336900
2019-03-06,67.61949451826715,19392993
2019-03-07,75.62223237094197,29670729
2019-03-08,72.46742639414818,38067096
2019-03-11,62.3456046315618,49484993
2019-03-12,73.19142850442049,1973181
2019-03-13,70.05450944050993,46059850
2019-03-14,69.00290823125037,19268849
2019-03-15,75.85215866328748,47839036
2019-03-18,78.35367192934437,44476894
2019-03-19,78.25858676354417,33363575
2019-03-20,69.8082019267479,3061774
2019-03-21,72.8588994635854,37344790
2019-03-22,76.46049575915127,21637778
2019-03-25,80.07964412565669,7976610
2019-03-26,73.20228712385621,7210715
2019-03-27,75.06458063374102,28488445
2019-03-28,70.8543728191613,32335282
2019-03-29,70.79661943977008,26303302
2019-04-01,81.23029711822423,21020303
2019-04-02,84.33727219413717,18686927
2019-04-03,77.58279226085932,38266016
2019-04-04,83.34562327331815,41467715
2019-04-05,80.51957840066908,36174147
2019-04-08,75.86754120499504,44570727
2019-04-09,81.28014071137889,7314768
2019-04-10,87.5416281770568,26101670
2019-04-11,80.04883687858145,9815995
2019-04-12,88.42592542809219,41280883
2019-04-15,67.87691949138039,9064220
2019-04-16,85.45627279422352,19321829
2019-04-17,82.15126805082268,19074854
2019-04-18,80.58840552154521,24912113
2019-04-19,82.90777297094463,25525886
2019-04-22,72.8747488778418,47573028
2019-04-23,82.0759363971361,31590972
2019-04-24,85.31961975545786,46038050
2019-04-25,91.28132769276488,37010502
2019-04-26,81.65632747397933,43432666
2019-04-29,80.5590333716812,34843291
2019-04-30,82.44452209848427,22526982
2019-05-01,89.88008851689084,16805013
2019-05-02,87.29455053163329,46944452
2019-05-03,83.34763941440978,48378941
2019-05-06,88.90633358803605,43537345
2019-05-07,87.1668330361482,38811773
2019-05-08,91.86399452080794,16321333
2019-05-09,83.84768652067531,40031525
2019-05-10,86.05466475246897,43147406
2019-05-13,86.06528241945685,18279636
2019-05-14,81.03890368122752,45194441
2019-05-15,90.16552611754587,40083478
2019-05-16,90.31642221861182,10426807
2019-05-17,89.36069302980484,18438118
2019-05-20,88.48391288836069,42116548
2019-05-21,82.89944493937323,48246348
2019-05-22,88.19023399297356,27535897
2019-05-23,88.8947466336613,30319409
2019-05-24,86.90947313544001,19463212
2019-05-27,90.4246380629652,31596308
2019-05-28,93.55918035501544,49774836
2019-05-29,101.27535298997239,21023633
2019-05-30,93.02043379716959,10091044
2019-05-31,93.73602786527982,28709612
2019-06-03,92.37437375646557,49890527
2019-06-04,83.44865746604569,15942371
2019-06-05,93.20342391927207,2551330
2019-06-06,93.92818063576094,1971248
2019-06-07,106.23182018932489,5657851
2019-06-10,93.23991603898945,24472522
2019-06-11,95.99308767883302,6378750
2019-06-12,94.5929289947164,3607411
2019-06-13,89.20172943810337,2693439
2019-06-14,101.03534875632862,19608310
2019-06-17,99.3544867807679,37991604
2019-06-18,99.82102899837092,17604953
2019-06-19,91.5874294192738,10447933
2019-06-20,103.41427477114972,41474307
2019-06-21,89.65441306554288,23700577
2019-06-24,99.85873743683179,40096943
2019-06-25,108.1349221357183,13807931
2019-06-26,92.48555313625481,48612497
2019-06-27,94.85972609299941,32216359
2019-06-28,98.43983151933978,4815144
2019-07-01,95.67192734322417,21213468
2019-07-02,90.68108158277563,17541107
2019-07-03,99.01966042318135,1817052
2019-07-04,93.60511920641078,28151781
2019-07-05,101.52172954357694,8596585
2019-07-08,94.79110544595451,17177172
2019-07-09,107.36967995018043,14302313
2019-07-10,95.93283757120147,7269324
2019-07-11,98.46520032740538,35982512
2019-07-12,104.36679885655424,10490536
2019-07-15,94.36589050313825,37075711
2019-07-16,101.87579924812566,25281104
2019-07-17,107.4897829822128,11488951
2019-07-18,93.12949904369151,13485000
2019-07-19,102.30020136189528,23897064
2019-07-22,102.8838284707371,3726016
2019-07-23,105.69817185059131,1442939
2019-07-24,95.80620273029935,21060188
2019-07-25,95.58782330670073,37266225
2019-07-26,104.99621133102232,31822201
2019-07-29,104.06506704789751,14135871
2019-07-30,104.02348742085721,48833019
2019-07-31,104.6913795296128,36873556
2019-08-01,99.74436278654133,48575798
2019-08-02,104.48833242255232,14331233
2019-08-05,104.97223076353963,49743175
2019-08-06,100.11214023070407,20296186
2019-08-07,113.18702106710124,36281840
2019-08-08,106.39878463445037,20578958
2019-08-09,98.2417927097249,18832891
2019-08-12,107.6469856297428,12952983
2019-08-13,99.6539326873452,33038060
2019-08-14,108.62310266479463,41991186
2019-08-15,110.6382106576522,14137311
2019-08-16,100.89658840824144,17751531
2019-08-19,109.96886187509443,25795222
2019-08-20,107.3650812132802,36874916
2019-08-21,109.55788723722726,5105223
2019-08-22,115.07517636487407,45766028
2019-08-23,104.50511194701214,30084871
2019-08-26,102.10143000565,29634616
2019-08-27,101.55781562705351,12963776
2019-08-28,102.05883362607008,42164396
